objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14660438,199315,RUA HOLANDA,144,Campo Grande,2,RESIDENCIAL,CASA,100,76.5,267270.025,267270.025,COMPRA E VENDA,2015,01,12
14660439,474973,RUA A PAA 12085/PAL 46941,144,Campo Grande,2,RESIDENCIAL,CASA,100,176.5,856470.435,856470.435,COMPRA E VENDA,2015,01,1
14660440,474981,RUA B PAA 12085/PAL 46941,144,Campo Grande,2,RESIDENCIAL,CASA,100,112,543480.155,543480.155,COMPRA E VENDA,2015,01,1
14660441,129304,RUA ACORES,145,Senador Vasconcelos       ,2,RESIDENCIAL,CASA,100,60.5,187172.525,187172.525,COMPRA E VENDA,2015,01,4
14660442,017152,AVN CESARIO DE MELO,146,Inhoaíba                  ,3,RESIDENCIAL,APARTAMENTO,100,43.666666,147628.733333,147628.733333,COMPRA E VENDA,2015,01,3
14660443,050955,RUA MORANGA,146,Inhoaíba                  ,3,RESIDENCIAL,APARTAMENTO,100,48.666666,162804.046666,162804.046666,COMPRA E VENDA,2015,01,7
14660444,098806,RUA GENTIL DE OURO,146,Inhoaíba                  ,4,RESIDENCIAL,APARTAMENTO,100,49.5,128527.615,128527.615,COMPRA E VENDA,2015,01,12
14660445,180927,RUA JOSE DA CONCEICAO SANTOS,147,Cosmos                    ,3,RESIDENCIAL,CASA,100,56,86934.6,86934.6,COMPRA E VENDA,2015,01,9
14660446,087049,AVN BRASIL,148,Paciência                 ,2,RESIDENCIAL,APARTAMENTO,100,53,156754.6,156754.6,COMPRA E VENDA,2015,01,1
14660447,087049,AVN BRASIL,148,Paciência                 ,2,RESIDENCIAL,CASA,100,53.5,136714.925,136714.925,COMPRA E VENDA,2015,01,4
14660448,087049,AVN BRASIL,148,Paciência                 ,4,RESIDENCIAL,CASA,100,53.25,136076.0675,136076.0675,COMPRA E VENDA,2015,01,7
14660449,087049,AVN BRASIL,148,Paciência                 ,2,RESIDENCIAL,CASA,100,54,137992.64,137992.64,COMPRA E VENDA,2015,01,10
14660450,119487,RUA GUERRA JUNQUEIRO,148,Paciência                 ,2,RESIDENCIAL,CASA,100,57.5,115289.515,115289.515,COMPRA E VENDA,2015,01,3
14660451,134650,AVN ROBERTO MOURA,148,Paciência                 ,2,RESIDENCIAL,CASA,100,40.5,75291.775,75291.775,COMPRA E VENDA,2015,01,7
14660452,134650,AVN ROBERTO MOURA,148,Paciência                 ,2,RESIDENCIAL,CASA,100,40,74362.24,74362.24,COMPRA E VENDA,2015,01,10
14660453,015214,ETR CABUCU DE BAIXO,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,63,142278.01,142278.01,COMPRA E VENDA,2015,01,2
14660454,029587,ETR DO MAGARCA,151,Guaratiba                 ,6,RESIDENCIAL,CASA,100,54,119920.426666,119920.426666,COMPRA E VENDA,2015,01,7
14660455,125724,RUA 36 PAA 6172/PAL 18529,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,59,174602.08,174602.08,COMPRA E VENDA,2015,01,11
14660456,135319,AVN MARIO PEDROSA,151,Guaratiba                 ,2,RESIDENCIAL,CASA,100,54,149247.97,149247.97,COMPRA E VENDA,2015,01,7
14660457,078329,AVN OSWALDO CRUZ,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,76.666666,118.666666,911186.863333,1552580.956666,COMPRA E VENDA,2016,01,11
14660458,078915,RUA PAISSANDU,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,75,91,811052.85,1101579.245,COMPRA E VENDA,2016,01,5
14660459,080473,AVN RUI BARBOSA,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,100,235,3413030.336666,3413030.336666,COMPRA E VENDA,2016,01,2
14660460,080473,AVN RUI BARBOSA,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,83.333333,194.666666,2590030.11,2827247.816666,COMPRA E VENDA,2016,01,5
14660461,081315,RUA SAO SALVADOR,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,140,1641478.54,1641478.54,COMPRA E VENDA,2016,01,5
14660462,081620,RUA SENAD VERGUEIRO,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,75,52,338255.615,553757.175,COMPRA E VENDA,2016,01,4
14660463,081620,RUA SENAD VERGUEIRO,015,Flamengo                  ,11,RESIDENCIAL,APARTAMENTO,80.681818,58.818181,459048.575454,606824.613636,COMPRA E VENDA,2016,01,7
14660464,081620,RUA SENAD VERGUEIRO,015,Flamengo                  ,7,RESIDENCIAL,APARTAMENTO,92.857142,76.428571,738114.258571,823099.03,COMPRA E VENDA,2016,01,10
14660465,081844,RUA SILVEIRA MARTINS,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,53.5,561940.775,561940.775,COMPRA E VENDA,2016,01,2
14660466,082974,RUA SENAD EUZEBIO,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,122.5,1370238.36,1370238.36,COMPRA E VENDA,2016,01,1
14660467,082974,RUA SENAD EUZEBIO,015,Flamengo                  ,4,RESIDENCIAL,APARTAMENTO,100,103.5,1471764.2375,1471764.2375,COMPRA E VENDA,2016,01,7
14660468,066761,RUA BENJAMIM CONSTANT,016,Glória                    ,2,RESIDENCIAL,APARTAMENTO,100,54,562201.98,562201.98,COMPRA E VENDA,2016,01,12
